species_requested,scientificName,country,decimalLatitude,decimalLongitude,eventDate,year,basisOfRecord,institutionCode,datasetName,gbifID
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,0.38,33.62,2021,2021,MATERIAL_SAMPLE,,,6218220586
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,0.38,33.62,2021,2021,MATERIAL_SAMPLE,,,6218248551
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,1.66042,33.7276,2020-01-07,2020,HUMAN_OBSERVATION,VecB,,4539682069
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,1.66042,33.7276,2020-01-08,2020,HUMAN_OBSERVATION,VecB,,4539683104
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,1.66042,33.7276,2020-01-07,2020,HUMAN_OBSERVATION,VecB,,4539685076
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,1.66042,33.7276,2020-01-08,2020,HUMAN_OBSERVATION,VecB,,4539689103
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,1.66042,33.7276,2020-01-08,2020,HUMAN_OBSERVATION,VecB,,4539768074
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,1.66042,33.7276,2020-02-08,2020,HUMAN_OBSERVATION,VecB,,4539683061
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,1.66042,33.7276,2020-02-08,2020,HUMAN_OBSERVATION,VecB,,4539684112
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,1.66042,33.7276,2020-02-07,2020,HUMAN_OBSERVATION,VecB,,4539687108
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,1.66042,33.7276,2020-02-07,2020,HUMAN_OBSERVATION,VecB,,4539691084
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,1.66042,33.7276,2020-03-06,2020,HUMAN_OBSERVATION,VecB,,4539684161
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,1.66042,33.7276,2020-03-06,2020,HUMAN_OBSERVATION,VecB,,4539685119
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,1.66042,33.7276,2020-03-05,2020,HUMAN_OBSERVATION,VecB,,4539687076
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,1.66042,33.7276,2020-03-05,2020,HUMAN_OBSERVATION,VecB,,4539690056
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,1.66042,33.7276,2020-07-14,2020,HUMAN_OBSERVATION,VecB,,4539684106
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,1.66042,33.7276,2020-07-16,2020,HUMAN_OBSERVATION,VecB,,4539688143
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,1.66042,33.7276,2020-07-18,2020,HUMAN_OBSERVATION,VecB,,4539689119
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,1.66042,33.7276,2020-07-14,2020,HUMAN_OBSERVATION,VecB,,4539690119
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,1.66042,33.7276,2020-07-16,2020,HUMAN_OBSERVATION,VecB,,4539768090
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,1.66042,33.7276,2020-07-18,2020,HUMAN_OBSERVATION,VecB,,4539768118
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,1.66042,33.7276,2020-08-06,2020,HUMAN_OBSERVATION,VecB,,4539682087
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,1.66042,33.7276,2020-08-12,2020,HUMAN_OBSERVATION,VecB,,4539682148
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,1.66042,33.7276,2020-08-06,2020,HUMAN_OBSERVATION,VecB,,4539683925
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,1.66042,33.7276,2020-08-07,2020,HUMAN_OBSERVATION,VecB,,4539686059
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,1.66042,33.7276,2020-08-12,2020,HUMAN_OBSERVATION,VecB,,4539687082
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,1.66042,33.7276,2020-08-07,2020,HUMAN_OBSERVATION,VecB,,4539688144
