GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
NTD_5,Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-reported-cases-of-human-african-trypanosomiasis-%28t-b-rhodesiense%29,1995,1995,1995,AFR,Africa,RWA,Rwanda,,,,,No data,,
NTD_ONCTREAT,Reported number of individuals treated for onchocerciasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-individuals-treated-for-onchocerciasis,2020,2020,2020,AFR,Africa,RWA,Rwanda,,,,,No PC required,,
NTD_ONCTREAT,Reported number of individuals treated for onchocerciasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-individuals-treated-for-onchocerciasis,2012,2012,2012,AFR,Africa,RWA,Rwanda,,,,,No PC required,,
NTD_ONCTREAT,Reported number of individuals treated for onchocerciasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-individuals-treated-for-onchocerciasis,2014,2014,2014,AFR,Africa,RWA,Rwanda,,,,,No PC required,,
NTD_ONCTREAT,Reported number of individuals treated for onchocerciasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-individuals-treated-for-onchocerciasis,2023,2023,2023,AFR,Africa,RWA,Rwanda,,,,,No PC required,,
NTD_ONCTREAT,Reported number of individuals treated for onchocerciasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-individuals-treated-for-onchocerciasis,2022,2022,2022,AFR,Africa,RWA,Rwanda,,,,,No PC required,,
NTD_YAWSNUM_CONF,Number of confirmed yaws cases reported,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-confirmed-cases-of-yaws-reported,2019,2019,2019,AFR,Africa,RWA,Rwanda,,,,,No data,,
NTD_ONCHEMO,Estimated number of individuals in the country requiring preventive chemotherapy for onchocerciasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-individuals-in-the-country-requiring-preventive-chemotherapy-for-onchocerciasis,2016,2016,2016,AFR,Africa,RWA,Rwanda,,,,,No PC required,,
NTD_5,Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-reported-cases-of-human-african-trypanosomiasis-%28t-b-rhodesiense%29,2021,2021,2021,AFR,Africa,RWA,Rwanda,,,,0.0,0,,
NTD_5,Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-reported-cases-of-human-african-trypanosomiasis-%28t-b-rhodesiense%29,2015,2015,2015,AFR,Africa,RWA,Rwanda,,,,,No data,,
