source_file,gbif_id,genus_query,scientific_name,species,event_date,year,month,day,district,state_province,latitude,longitude,individual_count,basis_of_record,sampling_protocol,license,references,limitations
gbif_rwanda_anopheles_occurrences.json,3893359543,Anopheles,"Anopheles gambiae Giles, 1900",Anopheles gambiae,2020-03,2020,3,,Gasabo,Umujyi wa Kigali,-1.887,30.064,50,HUMAN_OBSERVATION,man biting catch - outdoors,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=62452313,"presence-only public occurrence; use as supporting evidence, not PI field outcome"
gbif_rwanda_anopheles_occurrences.json,3893360308,Anopheles,"Anopheles gambiae Giles, 1900",Anopheles gambiae,2020-03,2020,3,,Kicukiro,Umujyi wa Kigali,-1.967,30.115,2,HUMAN_OBSERVATION,man biting catch - indoors,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=62450404,"presence-only public occurrence; use as supporting evidence, not PI field outcome"
gbif_rwanda_anopheles_occurrences.json,3893360539,Anopheles,"Anopheles gambiae Giles, 1900",Anopheles gambiae,2020-03,2020,3,,Nyarugenge,Umujyi wa Kigali,-2.015,30.026,1,HUMAN_OBSERVATION,man biting catch - outdoors,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=62452219,"presence-only public occurrence; use as supporting evidence, not PI field outcome"
gbif_rwanda_anopheles_occurrences.json,3893360548,Anopheles,"Anopheles gambiae Giles, 1900",Anopheles gambiae,2020-03,2020,3,,Gasabo,Umujyi wa Kigali,-1.887,30.064,43,HUMAN_OBSERVATION,man biting catch - indoors,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=62452291,"presence-only public occurrence; use as supporting evidence, not PI field outcome"
gbif_rwanda_anopheles_occurrences.json,3893357309,Anopheles,"Anopheles gambiae Giles, 1900",Anopheles gambiae,2020-04,2020,4,,Gasabo,Umujyi wa Kigali,-1.887,30.064,38,HUMAN_OBSERVATION,man biting catch - indoors,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=62450400,"presence-only public occurrence; use as supporting evidence, not PI field outcome"
gbif_rwanda_anopheles_occurrences.json,3893360540,Anopheles,"Anopheles gambiae Giles, 1900",Anopheles gambiae,2020-04,2020,4,,Gasabo,Umujyi wa Kigali,-1.887,30.064,63,HUMAN_OBSERVATION,man biting catch - outdoors,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=62452222,"presence-only public occurrence; use as supporting evidence, not PI field outcome"
gbif_rwanda_anopheles_occurrences.json,3893355549,Anopheles,"Anopheles gambiae Giles, 1900",Anopheles gambiae,2020-05,2020,5,,Gasabo,Umujyi wa Kigali,-1.887,30.064,129,HUMAN_OBSERVATION,man biting catch - outdoors,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=62452305,"presence-only public occurrence; use as supporting evidence, not PI field outcome"
gbif_rwanda_anopheles_occurrences.json,3893357314,Anopheles,"Anopheles gambiae Giles, 1900",Anopheles gambiae,2020-05,2020,5,,Nyarugenge,Umujyi wa Kigali,-2.015,30.026,1,HUMAN_OBSERVATION,man biting catch - indoors,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=62450433,"presence-only public occurrence; use as supporting evidence, not PI field outcome"
gbif_rwanda_anopheles_occurrences.json,3893357536,Anopheles,"Anopheles gambiae Giles, 1900",Anopheles gambiae,2020-05,2020,5,,Kicukiro,Umujyi wa Kigali,-1.967,30.115,1,HUMAN_OBSERVATION,man biting catch - outdoors,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=62452240,"presence-only public occurrence; use as supporting evidence, not PI field outcome"
gbif_rwanda_anopheles_occurrences.json,3893358307,Anopheles,"Anopheles gambiae Giles, 1900",Anopheles gambiae,2020-05,2020,5,,Nyarugenge,Umujyi wa Kigali,-2.015,30.026,1,HUMAN_OBSERVATION,man biting catch - outdoors,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=62450395,"presence-only public occurrence; use as supporting evidence, not PI field outcome"
gbif_rwanda_anopheles_occurrences.json,3893358312,Anopheles,"Anopheles gambiae Giles, 1900",Anopheles gambiae,2020-05,2020,5,,Kicukiro,Umujyi wa Kigali,-1.967,30.115,3,HUMAN_OBSERVATION,man biting catch - indoors,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=62450447,"presence-only public occurrence; use as supporting evidence, not PI field outcome"
gbif_rwanda_anopheles_occurrences.json,3893360546,Anopheles,"Anopheles gambiae Giles, 1900",Anopheles gambiae,2020-05,2020,5,,Gasabo,Umujyi wa Kigali,-1.887,30.064,42,HUMAN_OBSERVATION,man biting catch - indoors,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=62452280,"presence-only public occurrence; use as supporting evidence, not PI field outcome"
gbif_rwanda_anopheles_occurrences.json,3893355556,Anopheles,"Anopheles gambiae Giles, 1900",Anopheles gambiae,2020-06,2020,6,,Gasabo,Umujyi wa Kigali,-1.887,30.064,170,HUMAN_OBSERVATION,man biting catch - outdoors,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=62452352,"presence-only public occurrence; use as supporting evidence, not PI field outcome"
gbif_rwanda_anopheles_occurrences.json,3893356309,Anopheles,"Anopheles gambiae Giles, 1900",Anopheles gambiae,2020-06,2020,6,,Nyarugenge,Umujyi wa Kigali,-2.015,30.026,7,HUMAN_OBSERVATION,man biting catch - outdoors,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=62450427,"presence-only public occurrence; use as supporting evidence, not PI field outcome"
gbif_rwanda_anopheles_occurrences.json,3893356535,Anopheles,"Anopheles gambiae Giles, 1900",Anopheles gambiae,2020-06,2020,6,,Gasabo,Umujyi wa Kigali,-1.887,30.064,70,HUMAN_OBSERVATION,man biting catch - indoors,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=62452234,"presence-only public occurrence; use as supporting evidence, not PI field outcome"
gbif_rwanda_anopheles_occurrences.json,3893357541,Anopheles,"Anopheles gambiae Giles, 1900",Anopheles gambiae,2020-06,2020,6,,Nyarugenge,Umujyi wa Kigali,-2.015,30.026,4,HUMAN_OBSERVATION,man biting catch - indoors,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=62452273,"presence-only public occurrence; use as supporting evidence, not PI field outcome"
