source_row_id,source_dataset,day_only,month,year,site_raw,district_raw,origin_larvae_collection_raw,breeding_site_type_raw,agri_insecticide_1_raw,agri_insecticide_2_raw,agri_insecticide_3_raw,anopheles_species_raw,species_source_dataset,quality_flag
627,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
628,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
629,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
630,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
631,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
632,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
633,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
634,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
635,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
636,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
637,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
638,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
639,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
640,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
641,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
642,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
643,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
644,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
645,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
646,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
647,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
648,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
649,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
650,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
651,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
652,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
653,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
654,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
655,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
656,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
657,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
658,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
659,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
660,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
661,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
662,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
663,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
664,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
665,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
666,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
667,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
668,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
669,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
670,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
671,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
672,mosquito_behavior_raw.xls,15.0,,,Rukara,Kayonza,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
673,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
674,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
675,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
676,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
677,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
678,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
679,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
680,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
681,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
682,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
683,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
684,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
685,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
686,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
687,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
688,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
689,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
690,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
691,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
692,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
693,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
694,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
695,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
696,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
697,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
698,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
699,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
700,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
701,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
702,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
703,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
704,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
705,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
706,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
707,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
708,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
709,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
710,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
711,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
712,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
713,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
714,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
715,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
716,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
717,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
718,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
719,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
720,mosquito_behavior_raw.xls,26.0,,,Nyagatare,Nyagatare,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
721,mosquito_behavior_raw.xls,26.0,,,Kibogora,Nyamasheke,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
722,mosquito_behavior_raw.xls,26.0,,,Kibogora,Nyamasheke,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
723,mosquito_behavior_raw.xls,26.0,,,Kibogora,Nyamasheke,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
724,mosquito_behavior_raw.xls,26.0,,,Kibogora,Nyamasheke,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
725,mosquito_behavior_raw.xls,26.0,,,Kibogora,Nyamasheke,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
726,mosquito_behavior_raw.xls,26.0,,,Kibogora,Nyamasheke,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
727,mosquito_behavior_raw.xls,26.0,,,Kibogora,Nyamasheke,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
