value,count
Delth_1X,364
Perm_1X,360
Acyp_1X,359
Acyp_5X,316
Acyp_10X,316
Acyp_1X+PBO,316
Perm_5X,300
Perm_10X,300
Perm_1X+PBO,300
Delth_1X+PBO,212
Delth_10X,208
Delth_5X,196
