value,count
Deltamethrin 0.05%,364
Permethrin 0.75%,360
Alphacypermethrin 0.05%,359
Alphacypermethrin 0.25%,316
Alphacypermethrin 0.5%,316
Alphacypermethrin 0.05% + PBO,316
Permethrin 3.75%,300
Permethrin 7.5%,300
Permethrin 0.75% + PBO,300
Deltamethrin 0.05% + PBO,212
Deltamethrin 0.5%,208
Deltamethrin 0.25%,196
