value,count
Gitarama,148
Mimuli,144
Mwogo,144
Nyagatare,144
Mbazi,144
Gakoma,144
Rwesero,144
Remera,144
Kicukiro,143
Rukara,132
Kibogora,132
Bukora,132
Mahesha,132
Cyondo,128
Kirarambogo,120
Busoro,120
Nyagasambu,120
Gahini,120
Kajevuba,120
Karambi,108
Ngera,108
Rwaza,108
Ngarama,96
Nkanka,96
MAREBA,96
Mubuga,84
Gashora,80
Kivumu,60
Mareba,44
Mbuga,40
Bungwe,36
GASHORA,36
