value,count
Nyagatare,416
Bugesera,268
Gisagara,264
Kayonza,252
Rusizi,228
Muhanga,148
Huye,144
Gicumbi,144
Ngoma,144
Kicukiro,143
Nyamasheke,132
Kirehe,132
BUGESERA,132
Nyanza,120
Rwamagana,120
Rulindo,120
Ruhango,108
Nyaruguru,108
Musanze,108
Gatsibo,96
Karongi,84
Rutsiro,60
Nyamagabe,40
Burera,36
